language_2_chars,language_3_chars,family,genus,script
aa,aar,Afro-Asiatic,Lowland East Cushitic,Latn
ab,abk,Northwest Caucasian,Northwest Caucasian,Cyrl
ab,abk,Northwest Caucasian,Northwest Caucasian,Latn
ab,abk,Northwest Caucasian,Northwest Caucasian,Geor
,ace,Austronesian,Malayo-Sumbawan,Latn
,ady,Northwest Caucasian,Northwest Caucasian,Cyrl
af,afr,Indo-European,Germanic,Arab
af,afr,Indo-European,Germanic,Latn
ak,aka,Niger-Congo,Tano,Latn
,alt,Altaic,Turkic,Cyrl
,alt,Altaic,Turkic,Latn
am,amh,Afro-Asiatic,Semitic,Ethi
ar,ara,Afro-Asiatic,Semitic,Arab
ar,arb,Afro-Asiatic,Semitic,Arab
es,arg,Indo-European,Romance,Latn
as,asm,Indo-European,Indic,Beng
,ast,Indo-European,Romance,Latn
av,ava,Nakh-Daghestanian,Avar-Andic-Tsezic,Cyrl
ae,ave,Indo-European,Iranian,Deva
,awa,Indo-European,Indic,Deva
,awa,Indo-European,Indic,Kthi
ay,aym,Aymaran,Aymaran,Latn
,ayr,Aymaran,Aymaran,Latn
,azb,Altaic,Turkic,Arab
,azb,Altaic,Turkic,Cyrl
,azb,Altaic,Turkic,Latn
az,aze,Altaic,Turkic,Arab
az,aze,Altaic,Turkic,Cyrl
az,aze,Altaic,Turkic,Latn
az,azj,Altaic,Turkic,Arab
az,azj,Altaic,Turkic,Cyrl
az,azj,Altaic,Turkic,Latn
ba,bak,Altaic,Turkic,Cyrl
ba,bak,Altaic,Turkic,Latn
bm,bam,Mande,Western Mande,Latn
bm,bam,Mande,Western Mande,Nkoo
,ban,Austronesian,Malayo-Sumbawan,Latn
,ban,Austronesian,Malayo-Sumbawan,Bali
,bcl,Austronesian,Greater Central Philippine,Latn
be,bel,Indo-European,Slavic,Arab
be,bel,Indo-European,Slavic,Cyrl
be,bel,Indo-European,Slavic,Latn
,bem,Niger-Congo,Bantu,Latn
bn,ben,Indo-European,Indic,Beng
bn,ben,Indo-European,Indic,Kthi
,bho,Indo-European,Indic,Deva
,bho,Indo-European,Indic,Kthi
bi,bis,Indo-European,Creoles and Pidgins,Latn
bo,bod,Sino-Tibetan,Bodic,Phag
bo,bod,Sino-Tibetan,Bodic,Soyo
bo,bod,Sino-Tibetan,Bodic,Tibt
bo,bod,Sino-Tibetan,Bodic,Deva
bs,bos,Indo-European,Slavic,Latn
bs,bos,Indo-European,Slavic,Arab
bs,bos,Indo-European,Slavic,Cyrl
,bqi,Indo-European,Iranian,Arab
br,bre,Indo-European,Celtic,Latn
,bug,Austronesian,South Sulawesi,Latn
bg,bul,Indo-European,Slavic,Cyrl
ca,cat,Indo-European,Romance,Latn
,ceb,Austronesian,Greater Central Philippine,Latn
cs,ces,Indo-European,Slavic,Latn
ch,cha,Austronesian,Chamorro,Latn
ce,che,Nakh-Daghestanian,Nakh,Arab
ce,che,Nakh-Daghestanian,Nakh,Cyrl
ce,che,Nakh-Daghestanian,Nakh,Latn
,chg,Altaic,Turkic,Arab
,chm,Uralic,Mari,Cyrl
,chn,Penutian,Chinookan,Latn
,chr,Iroquoian,Southern Iroquoian,Latn
,chr,Iroquoian,Southern Iroquoian,Cher
cu,chu,Indo-European,Slavic,Cyrl
cv,chv,Altaic,Turkic,Cyrl
,cjk,Niger-Congo,Benue-Congo Plateau,Latn
,ckb,Indo-European,Iranian,Arab
,ckb,Indo-European,Iranian,Cyrl
,ckb,Indo-European,Iranian,Cyrl
,ckt,Chukotko-Kamchatkan,Northern Chukotko-Kamchatkan,Cyrl
kw,cor,Indo-European,Celtic,Latn
co,cos,Indo-European,Romance,Latn
cr,cre,Algic,Algonquian,Cans
cr,cre,Algic,Algonquian,Latn
,crh,Altaic,Turkic,Cyrl
,crh,Altaic,Turkic,Arab
cy,cym,Indo-European,Celtic,Ogam
cy,cym,Indo-European,Celtic,Latn
da,dan,Indo-European,Germanic,Latn
,dar,Nakh-Daghestanian,Dargwic,Arab
,dar,Nakh-Daghestanian,Dargwic,Cyrl
,dar,Nakh-Daghestanian,Dargwic,Latn
de,deu,Indo-European,Germanic,Latn
,dik,Eastern Sudanic,Western Nilotic,Latn
,din,Eastern Sudanic,Western Nilotic,Latn
dv,div,Indo-European,Indic,Arab
dv,div,Indo-European,Indic,Thaa
,dyu,Mande,Western Mande,Arab
,dyu,Mande,Western Mande,Latn
dz,dzo,Sino-Tibetan,Bodic,Tibt
el,ell,Indo-European,Greek,Grek
en,eng,Indo-European,Germanic,Latn
eo,epo,Indo-European,Romance,Latn
,esg,Dravidian,Dravidian,Deva
et,est,Uralic,Finnic,Latn
eu,eus,Basque,Basque,Latn
,eve,Altaic,Tungusic,Cyrl
