language_3_chars,language_2_chars,language_score,numbers_score,punctuation_score,singular_chars_score,script
afr,af,6.9,1.8,3.6,0.7,latn
arb,ar,8.5,1.8,2.4,0.4,arab
azj,az,7.3,2.2,3.0,0.5,latn
bel,be,9.0,1.8,3.3,0.7,cyrl
ben,bn,8.6,1.2,1.7,0.4,beng
bul,bg,8.5,1.6,3.3,0.4,cyrl
cat,ca,8.8,1.6,3.4,0.9,latn
ces,cs,8.5,1.5,3.1,0.3,latn
cym,cy,8.9,1.1,3.1,0.9,latn
dan,da,8.5,1.3,2.9,0.3,latn
deu,de,8.7,1.2,2.8,0.4,latn
ell,el,8.8,1.85,2.7,0.6,grek
eng,en,8.6,1.3,2.9,0.5,latn
epo,eo,8.2,1.3,3.7,0.4,latn
ekk,et,8.4,1.3,2.9,0.3,latn
eus,eu,9.0,1.4,2.9,0.3,latn
fas,fa,8.4,1.5,2.6,0.3,arab
fil,tl,7.8,1.4,3.1,0.3,latn
fin,fi,8.4,1.4,2.7,0.3,latn
fra,fr,8.8,1.3,3.4,1.0,latn
gle,ga,7.8,1.1,2.5,0.4,latn
glg,gl,8.3,1.8,2.4,0.4,latn
guj,gu,8.3,1.6,2.5,0.3,gujr
heb,he,8.1,1.0,3.8,0.4,hebr
hin,hi,8.1,2.6,2.0,0.3,deva
hun,hu,8.7,1.2,3.2,0.3,latn
hye,hy,9.3,2.7,2.8,0.9,armn
ind,id,8.2,1.4,2.6,0.3,latn
isl,is,7.8,1.5,2.3,0.3,latn
ita,it,8.7,1.5,2.9,0.7,latn
jpn,ja,6.1,4.2,6.5,0.8,jpan
kan,kn,8.4,1.4,2.9,0.3,knda
kat,ka,9.1,1.8,3.1,0.4,geor
kaz,kk,9.2,2.2,2.8,0.5,cyrl
kir,ky,8.9,1.5,3.1,0.3,cyrl
kor,ko,6.8,6.6,7.3,1.2,hang
lat,la,7.8,0.6,3.1,0.2,latn
lav,lv,8.6,1.5,3.3,0.4,latn
lit,lt,8.8,1.2,3.2,0.4,latn
mal,ml,8.3,1.0,3.4,0.2,mlym
mar,mr,8.5,1.5,2.7,0.3,deva
mkd,mk,9.1,1.6,2.6,0.4,cyrl
mlt,mt,7.5,1.4,6.4,0.3,latn
mon,mn,9.0,2.8,3.2,0.4,cyrl
msa,ms,4.0,3.2,3.8,0.7,latn
mya,my,8.4,2.3,0.8,0.2,mymr
nep,ne,8.7,2.6,1.5,0.4,deva
nld,nl,8.6,1.1,2.4,0.3,latn
nno,nn,7.6,1.6,2.9,0.3,latn
nob,nb,8.1,1.3,2.7,0.3,latn
pan,pa,8.5,2.0,2.3,0.4,guru
pol,pl,8.5,1.5,2.8,0.3,latn
por,pt,8.6,1.8,3.1,0.5,latn
pus,ps,8.7,1.5,2.0,0.2,arab
ron,ro,8.2,1.7,3.1,0.4,latn
rus,ru,8.7,1.6,3.1,0.4,cyrl
sin,si,8.2,1.7,3.7,0.4,sinh
slk,sk,8.4,1.5,2.9,0.3,latn
slv,sl,8.5,1.4,3.0,0.3,latn
som,so,6.1,1.5,2.4,0.4,latn
spa,es,8.8,1.3,2.4,0.3,latn
sqi,sq,9.0,1.9,2.9,0.5,latn
swe,sv,8.5,1.3,2.3,0.3,latn
swh,sw,7.4,2.2,2.8,0.4,latn
tam,ta,8.7,1.6,2.9,0.3,taml
tat,tt,6.9,2.6,3.9,0.8,cyrl
tel,te,7.4,1.3,3.7,0.3,telu
tha,th,7.6,2.0,1.2,0.3,thai
tur,tr,8.9,1.4,2.5,0.4,latn
ukr,uk,8.9,1.5,3.3,0.5,cyrl
urd,ur,7.7,1.8,2.1,0.3,arab
uzb,uz,7.7,1.9,4.6,1.9,latn
vie,vi,8.6,2.4,3.0,0.5,latn
cmn,zh,4.8,9.0,9.9,1.5,hans
