,language,language_score,numbers_score,punctuation_score,singular_chars_score,language_3
0,te,7.4,1.3,3.7,0.3,tel
1,da,8.5,1.3,2.9,0.3,dan
2,ro,8.2,1.7,3.1,0.4,ron
3,ky,8.9,1.5,3.1,0.3,kir
4,mr,8.5,1.5,2.7,0.3,mar
5,ta,8.7,1.6,2.9,0.3,tam
6,lt,8.8,1.2,3.2,0.4,lit
7,et,8.4,1.3,2.9,0.3,est
8,fi,8.4,1.4,2.7,0.3,fin
9,ca,8.8,1.6,3.4,0.9,cat
10,my,8.4,2.3,0.8,0.2,mya
11,bn,8.6,1.2,1.7,0.4,ben
12,la,7.8,0.6,3.1,0.2,lat
13,it,8.7,1.5,2.9,0.7,ita
14,nb,8.1,1.3,2.7,0.3,nob
15,gu,8.3,1.6,2.5,0.3,guj
16,bg,8.5,1.6,3.3,0.4,bul
17,fa,8.4,1.5,2.6,0.3,pes
18,kn,8.4,1.4,2.9,0.3,kan
19,gl,8.3,1.8,2.4,0.4,glg
20,ms,4.0,3.2,3.8,0.7,zsm
21,de,8.7,1.2,2.8,0.4,deu
22,sv,8.5,1.3,2.3,0.3,swe
23,tr,8.9,1.4,2.5,0.4,tur
24,az,7.3,2.2,3.0,0.5,azb
24,az,7.3,2.2,3.0,0.5,azj
25,be,9.0,1.8,3.3,0.7,bel
26,el,8.8,1.85,2.7,0.6,ell
27,sq,9.0,1.9,2.9,0.5,als
28,mn,9.0,2.8,3.2,0.4,khk
29,nl,8.6,1.1,2.4,0.3,nld
30,ga,7.8,1.1,2.5,0.4,gle
31,id,8.2,1.4,2.6,0.3,ind
32,pa,8.5,2.0,2.3,0.4,pan
33,hu,8.7,1.2,3.2,0.3,hun
34,hi,8.1,2.6,2.0,0.3,hin
35,uz,7.7,1.9,4.6,1.9,uzb
36,af,6.9,1.8,3.6,0.7,afr
37,cy,8.9,1.1,3.1,0.9,cym
38,hbs,8.5,1.45,2.9,0.3,hbs
39,ja,6.1,4.2,6.5,0.8,jpn
40,zh,4.8,9.0,9.9,1.5,zho
41,ru,8.7,1.6,3.1,0.4,rus
42,es,8.8,1.3,2.4,0.3,spa
43,hy,9.3,2.7,2.8,0.9,hye
44,sw,7.4,2.2,2.8,0.4,swh
45,pt,8.6,1.8,3.1,0.5,por
46,en,8.6,1.3,2.9,0.5,eng
47,eo,8.2,1.3,3.7,0.4,epo
48,si,8.2,1.7,3.7,0.4,sin
49,ps,8.7,1.5,2.0,0.2,pbt
50,ur,7.7,1.8,2.1,0.3,urd
51,tl,7.8,1.4,3.1,0.3,tgl
52,ko,6.8,6.6,7.3,1.2,kor
53,ar,8.5,1.8,2.4,0.4,ara
54,tt,6.9,2.6,3.9,0.8,tat
55,ka,9.1,1.8,3.1,0.4,kat
56,he,8.1,1.0,3.8,0.4,heb
57,uk,8.9,1.5,3.3,0.5,ukr
58,lv,8.6,1.5,3.3,0.4,lvs
59,eu,9.0,1.4,2.9,0.3,eus
60,so,6.1,1.5,2.4,0.4,som
61,is,7.8,1.5,2.3,0.3,isl
62,fr,8.8,1.3,3.4,1.0,fra
63,vi,8.6,2.4,3.0,0.5,vie
64,mk,9.1,1.6,2.6,0.4,mkd
65,sk,8.4,1.5,2.9,0.3,slk
66,ml,8.3,1.0,3.4,0.2,mal
67,ne,8.7,2.6,1.5,0.4,npi
68,kk,9.2,2.2,2.8,0.5,kaz
69,sl,8.5,1.4,3.0,0.3,slv
70,pl,8.5,1.5,2.8,0.3,pol
71,cs,8.5,1.5,3.1,0.3,ces
72,th,7.6,2.0,1.2,0.3,tha
73,mt,7.5,1.4,6.4,0.3,mlt
74,nn,7.6,1.6,2.9,0.3,nno
